,Product_name,Original_price,Offer_price,Offer_percentage,Extra_offer,Shades_and_sizes,Featured_product,Best_seller_product
2430,Bombay Shaving Company Defender For Her Razor and Post Shave...,Not available,544,Not available,Enjoy Free Gift,Not available,Not available,Not available
2431,Be Bodywise 1% Salicylic Acid Body Wash + 10% Niacinamide Bo...,848,749,12,Get Free Product,Not available,Not available,Not available
2432,Victoria's Secret Warm And Cozy Body Lotion,Not available,2299,Not available,Offer Available,Not available,Not available,Not available
2433,TNW The Natural Wash Handmade Charcoal Soap For Acne and Dee...,240,192,20,Enjoy Free Gift,Not available,Not available,Not available
2434,Kimirica Creme Bath Tropical Forest Body Wash,475,404,15,Not available,Not available,Not available,Not available
2435,Bella Vita Organic Celeb Shine Body Shimmer Gloss Lotion Nud...,998,649,35,Not available,Not available,Not available,Not available
2436,Nair Kiwi Hair Removal Spray,Not available,410,Not available,Not available,Not available,Not available,Not available
2437,Ancient Living Daily Bath Needs - (Pack Of 3),Not available,445,Not available,Not available,Not available,Not available,Not available
2438,WOW Skin Science Himalayan Rose Bathing Bar -y With 5.5 Ph,125,119,5,Not available,Not available,Not available,Not available
2439,VEGA Nail Clipper (LNC-01),Not available,140,Not available,Not available,Not available,Not available,Not available
2440,L'Occitane Lavender Organic Shower Gel,Not available,1950,Not available,Enjoy Free Gift,2 sizes,Not available,Not available
2441,Azah Rash-free Organic Sanitary Pads (Box of 12 Pads: All XL...,239,198,17,Not available,Not available,Not available,Not available
2442,Babila Handy Pumice Stone (PC-V03),120,114,5,Not available,Not available,Not available,Not available
2443,Bombae Defender for Her Grooming Kit(100gm+ 4 Unit),1580,999,37,Enjoy Free Gift,Not available,Not available,Not available
2444,"Philips Fresh Air Mask, Superior Breathing Comfort, Air Powe...",Not available,6990,Not available,Not available,Not available,Not available,Not available
2445,Bajaj Almond Drops Moisturising Soap - Pack Of 4,268,188,30,Not available,Not available,Not available,Not available
2446,Joy Honey & Almonds Ultimate Nourishing Body Milk Lotion - P...,630,410,35,Enjoy Free Gift,Not available,Not available,Not available
